wave flux flux_err
8121.523012443602 3.066129663457191e-14 1.5330648317285956e-15
8145.976886765014 3.1443886134677865e-14 1.5721943067338934e-15
8170.430761086424 3.1323103080707434e-14 1.5661551540353717e-15
8194.884635407836 3.075538405724079e-14 1.5377692028620397e-15
8219.338509729247 3.056472202254603e-14 1.5282361011273016e-15
8243.79238405066 3.049343489150375e-14 1.5246717445751874e-15
8268.246258372072 3.0421283304643106e-14 1.5210641652321554e-15
8292.700132693482 3.023087518692361e-14 1.5115437593461805e-15
8317.154007014893 3.0063043374297834e-14 1.5031521687148917e-15
8341.607881336304 2.9865370779550103e-14 1.4932685389775053e-15
8366.061755657714 2.946514861513091e-14 1.4732574307565455e-15
8390.515629979127 2.9643564336370595e-14 1.4821782168185298e-15
8414.969504300538 2.949670193582357e-14 1.4748350967911787e-15
8439.42337862195 2.9491426744259377e-14 1.474571337212969e-15
8463.87725294336 2.899871512281649e-14 1.4499357561408246e-15
8488.331127264772 2.934550697617046e-14 1.4672753488085231e-15
8512.785001586182 2.8366877855789386e-14 1.4183438927894693e-15
8537.238875907593 2.7847058739606935e-14 1.3923529369803468e-15
8561.692750229004 2.6267922162136554e-14 1.3133961081068278e-15
8586.146624550414 2.8379864542759562e-14 1.4189932271379781e-15
8610.600498871829 2.857275528564513e-14 1.4286377642822564e-15
8635.05437319324 2.8404574152297494e-14 1.4202287076148748e-15
8659.50824751465 2.790882460902498e-14 1.3954412304512492e-15
8683.96212183606 2.6692087907186347e-14 1.3346043953593175e-15
8708.415996157471 2.773292772348664e-14 1.386646386174332e-15
8732.869870478884 2.8185029250131094e-14 1.4092514625065547e-15
8757.323744800296 2.8536516852371687e-14 1.4268258426185844e-15
8781.777619121707 2.780670080781139e-14 1.3903350403905695e-15
8806.231493443118 2.7518239972842634e-14 1.3759119986421317e-15
8830.685367764529 2.6956837122490485e-14 1.3478418561245243e-15
8855.13924208594 2.743763862078212e-14 1.371881931039106e-15
8879.59311640735 2.7356050111742432e-14 1.3678025055871218e-15
8904.04699072876 2.722711535916068e-14 1.361355767958034e-15
8928.500865050173 2.7718256663455298e-14 1.385912833172765e-15
8952.954739371586 2.724813812813945e-14 1.3624069064069726e-15
8977.408613692996 2.7264648630529732e-14 1.3632324315264867e-15
9001.862488014407 2.7007818538908092e-14 1.3503909269454046e-15
9026.316362335818 2.7064149458156152e-14 1.3532074729078078e-15
9050.770236657228 2.6641142405178055e-14 1.3320571202589029e-15
9075.224110978641 2.685012975851066e-14 1.3425064879255331e-15
9099.677985300053 2.6493813896198934e-14 1.3246906948099468e-15
9124.131859621464 2.6397328232576965e-14 1.3198664116288484e-15
9148.585733942875 2.6401428811596332e-14 1.3200714405798166e-15
9173.039608264286 2.6164155185709162e-14 1.308207759285458e-15
9197.493482585696 2.600605881535763e-14 1.3003029407678817e-15
9221.947356907107 2.5693875021753722e-14 1.2846937510876862e-15
9246.401231228518 2.534093089453306e-14 1.2670465447266532e-15
9270.85510554993 2.513727449983325e-14 1.2568637249916625e-15
9295.308979871343 2.5832529031674474e-14 1.2916264515837238e-15
9319.762854192753 2.485164218126385e-14 1.2425821090631926e-15
9344.216728514164 2.55189137894042e-14 1.2759456894702102e-15
9368.670602835575 2.5231299674932073e-14 1.2615649837466038e-15
9393.124477156985 2.504402415677827e-14 1.2522012078389137e-15
9417.578351478398 2.4834185767044948e-14 1.2417092883522474e-15
9442.03222579981 2.4508707709318697e-14 1.2254353854659349e-15
9466.486100121221 2.4514266488264264e-14 1.2257133244132133e-15
9490.939974442632 2.467244923955642e-14 1.233622461977821e-15
9515.393848764043 2.4911995263123837e-14 1.2455997631561919e-15
9539.847723085453 2.450750783261923e-14 1.2253753916309615e-15
9564.301597406864 2.4345876476658025e-14 1.2172938238329014e-15
9588.755471728275 2.4299755745901252e-14 1.2149877872950627e-15
9613.209346049687 2.4622694274426847e-14 1.2311347137213423e-15
9637.6632203711 2.4502466365741444e-14 1.2251233182870722e-15
9662.11709469251 2.4308023595322678e-14 1.215401179766134e-15
9686.570969013921 2.3873224657779126e-14 1.1936612328889565e-15
9711.024843335332 2.4028398798887852e-14 1.2014199399443927e-15
9735.478717656742 2.3865234646869827e-14 1.1932617323434914e-15
9759.932591978155 2.3826598097812986e-14 1.1913299048906493e-15
9784.386466299567 2.364908518511217e-14 1.1824542592556085e-15
9808.840340620978 2.3501192937906818e-14 1.175059646895341e-15
9833.294214942389 2.3535285172919863e-14 1.1767642586459933e-15
9857.7480892638 2.3683268496744988e-14 1.1841634248372494e-15
9882.20196358521 2.3639020410415962e-14 1.1819510205207981e-15
9906.655837906621 2.3441909360432992e-14 1.1720954680216497e-15
9931.109712228033 2.355122033379633e-14 1.1775610166898165e-15
9955.563586549444 2.34368456492838e-14 1.1718422824641902e-15
9980.017460870857 2.317463035200842e-14 1.1587315176004211e-15
10004.471335192267 2.29889163384137e-14 1.1494458169206851e-15
10028.925209513678 2.259086710658425e-14 1.1295433553292126e-15
10053.379083835089 2.23521210569207e-14 1.1176060528460352e-15
10077.8329581565 2.235459830600186e-14 1.117729915300093e-15
10102.286832477914 2.2767798046724606e-14 1.1383899023362305e-15
10126.740706799324 2.2471246477392793e-14 1.1235623238696397e-15
10151.194581120735 2.229372617850973e-14 1.1146863089254867e-15
10175.648455442146 2.2597392211011693e-14 1.1298696105505847e-15
10200.102329763557 2.256461863435562e-14 1.1282309317177811e-15
10224.556204084967 2.1967407958156694e-14 1.0983703979078348e-15
10249.010078406378 2.2327642730633494e-14 1.1163821365316748e-15
10273.46395272779 2.2200565603708655e-14 1.1100282801854327e-15
10297.917827049201 2.188625454092271e-14 1.0943127270461355e-15
10322.371701370614 2.16487955354179e-14 1.082439776770895e-15
10346.825575692024 2.1439470725997973e-14 1.0719735362998987e-15
10371.279450013435 2.1554685036937376e-14 1.0777342518468688e-15
10395.733324334846 2.1298919160549167e-14 1.0649459580274585e-15
10420.187198656256 2.1269017271151023e-14 1.0634508635575513e-15
10444.64107297767 2.1205119472934997e-14 1.0602559736467499e-15
10469.094947299081 2.098437946653738e-14 1.0492189733268691e-15
10493.548821620492 2.083499364777609e-14 1.0417496823888046e-15
10518.002695941903 2.0960901413020555e-14 1.0480450706510278e-15
10542.456570263314 2.091108575630522e-14 1.0455542878152612e-15
10566.910444584724 2.0884274056601744e-14 1.0442137028300872e-15
10591.364318906135 2.0356399059114333e-14 1.0178199529557167e-15
10615.818193227547 2.0373801044222573e-14 1.0186900522111288e-15
10640.272067548958 2.0421763394172733e-14 1.0210881697086367e-15
10664.725941870369 2.0005491231483952e-14 1.0002745615741977e-15
10689.179816191781 2.0009912568226136e-14 1.0004956284113069e-15
10713.633690513192 2.000907185570263e-14 1.0004535927851317e-15
10738.087564834603 1.980423171454423e-14 9.902115857272115e-16
10762.541439156015 1.982732891433459e-14 9.913664457167297e-16
10786.995313477428 1.9772590375863694e-14 9.886295187931848e-16
10811.449187798838 1.93145230716516e-14 9.6572615358258e-16
10835.90306212025 1.909119182799241e-14 9.545595913996206e-16
10860.35693644166 1.929240809378654e-14 9.64620404689327e-16
10884.81081076307 1.924544555702727e-14 9.622722778513635e-16
10909.264685084481 1.8956248758648592e-14 9.478124379324296e-16
10933.718559405892 1.8692136682920903e-14 9.346068341460452e-16
10958.172433727304 1.851429005710069e-14 9.257145028550345e-16
10982.626308048715 1.849087769333962e-14 9.245438846669811e-16
11007.080182370126 1.83593001811057e-14 9.17965009055285e-16
11031.534056691538 1.857096482623625e-14 9.285482413118126e-16
11055.987931012949 1.878115647738807e-14 9.390578238694035e-16
11080.44180533436 1.8963516303369386e-14 9.481758151684693e-16
11104.895679655772 1.8701135445030275e-14 9.350567722515138e-16
11129.349553977185 1.8546076950290217e-14 9.273038475145109e-16
11153.803428298595 1.8495016448605612e-14 9.247508224302806e-16
11178.257302620006 1.8564271113684057e-14 9.282135556842028e-16
11202.711176941417 1.8290862954534806e-14 9.145431477267404e-16
11227.165051262828 1.8511192028138004e-14 9.255596014069002e-16
11251.618925584238 1.8250049114915282e-14 9.125024557457641e-16
11276.07279990565 1.824768012642973e-14 9.123840063214865e-16
